origin_id,destinatio,entry_cost,network_co,exit_cost,total_cost
Bella Vista,Bella Vista,,0.0000000,,
Bella Vista,Beron de Astrada,0.0000000,17.3125689,0.0131334,17.3257023
Bella Vista,Capital,0.0000000,11.5723838,0.0000000,11.5723838
Bella Vista,Concepcion,0.0000000,11.3901954,0.0736135,11.4638089
Bella Vista,Curuzu Cuatia,0.0000000,11.3901954,0.0736135,11.4638089
Bella Vista,Empedrado,0.0000000,6.6399330,0.0000000,6.6399330
Bella Vista,Esquina,0.0000000,19.7125073,0.0656217,19.7781290
Bella Vista,General Alvear,0.0000000,26.8982733,0.0000000,26.8982733
Bella Vista,Departamento General Paz,0.0000000,14.7124890,0.0401319,14.7526209
Bella Vista,Goya,0.0000000,6.6746554,0.0000000,6.6746554
Bella Vista,Itati,0.0000000,16.3358825,0.0332713,16.3691538
Bella Vista,Ituzaingo,0.0000000,23.4197017,0.0000000,23.4197017
Bella Vista,Lavalle,0.0000000,4.6391157,0.0862448,4.7253605
Bella Vista,Mburucuya,0.0000000,8.3950771,0.0404930,8.4355701
Bella Vista,Mercedes,0.0000000,11.2925004,0.0000000,11.2925004
Bella Vista,Monte Caseros,0.0000000,22.8381302,0.0000000,22.8381302
Bella Vista,Departamento Paso de los Libres,0.0000000,23.3224322,0.0000000,23.3224322
Bella Vista,Departamento Saladas,0.0000000,23.3224322,0.0000000,23.3224322
Bella Vista,San Cosme,0.0000000,13.5988789,0.0802203,13.6790992
Bella Vista,Departamento San Luis del Palmar,0.0000000,12.2583070,0.0689451,12.3272521
Bella Vista,San Martin,0.0000000,26.2008514,0.0552303,26.2560818
Bella Vista,San Miguel,0.0000000,14.2144037,0.0000000,14.2144037
Bella Vista,San Roque,0.0000000,3.3084024,0.0845838,3.3929862
Bella Vista,Santo Tome,0.0000000,32.4516196,0.0000000,32.4516196
Bella Vista,Sauce,0.0000000,17.1325032,0.0000000,17.1325032
Beron de Astrada,Bella Vista,0.0139542,17.3125689,0.0000000,17.3257023
